cancer_type,parameter_name,definition
base,q_nTreg_LN_in,"Rate of naive regulatory T cell transport into tumor-draining lymph nodes, determines the naive Treg influx available for activation by self-antigens presented by APCs"
base,q_nTreg_LN_out,"Rate of naive regulatory T cell egress from lymph nodes without activation, represents baseline Treg recirculation through lymphoid organs"
base,q_nTreg_P_in,"Rate of naive regulatory T cell transport from central to peripheral compartments, maintains naive Treg distribution throughout body"
base,q_nTreg_P_out,"Rate of naive regulatory T cell egress from peripheral compartment back to central circulation, maintains steady-state naive Treg distribution"
base,r_PDL1_IFNg,"Fold increase in PD-L1 expression induced by IFN-γ secreted by activated CD8+ T cells, represents adaptive immune resistance mechanism"
base,r_PDL2APC,"Ratio of PD-L2 to PD-L1 checkpoint ligands on antigen-presenting cells, determines relative contribution of PD-L2 pathway to T cell priming inhibition"
base,r_PDL2_chemo_sens,"Ratio of PD-L2 to PD-L1 checkpoint ligands on chemotherapy-sensitive cancer cells, determines relative contribution of PD-L2 pathway to T cell inhibition"
base,syn_T_APC_PDL1_total,"Total PD-L1 density in T cell-APC immunological synapse, calculated variable representing checkpoint ligand availability for inhibiting T cell priming"
base,syn_T_APC_PDL2_total,"Total PD-L2 density in T cell-APC immunological synapse, calculated variable representing alternative checkpoint ligand for inhibiting T cell priming"
base,syn_T_chemo_sens_PDL1_total,"Total PD-L1 density in T cell-chemotherapy-sensitive cancer cell immunological synapse, calculated variable representing checkpoint ligand availability for PD-1 binding"
base,syn_T_chemo_sens_PDL2_total,"Total PD-L2 density in T cell-chemotherapy-sensitive cancer cell immunological synapse, calculated variable representing alternative checkpoint ligand for PD-1 binding"
base,vol_Mcell,"Volume of a single macrophage calculated from average diameter, used for concentration conversions"
base,vol_Tcell,"Average T cell volume calculated from diameter, contributes to total tumor volume alongside cancer cells"
base,vol_cell,"Average cancer cell volume calculated from diameter, used in tumor volume equation V_T and initial conditions"
